Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Instructor
Data Engineering with AWS,nanodegree,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate,4 Weeks,4.6,1802,"AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Intermediate Python, intermediate SQL & command line",https://news.ucsc.edu/2022/10/images/kim350.png
Product Manager,nanodegree,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner,4 Weeks,4.7,864,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",No Experience Required,https://flathatnews.com/wp-content/uploads/2022/11/Screen-Shot-2022-11-14-at-11.05.55-PM.png
C++,nanodegree,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate,4 Weeks,4.5,1126,"Data Structures & Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",Intermediate Programming,https://www.insidehighered.com/sites/default/server_files/media/Screen%20Shot%202016-05-16%20at%207.03.45%20PM.png
Business Analytics,nanodegree,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner,3 Weeks,4.8,2649,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",None,https://cdn1.iconfinder.com/data/icons/user-pictures/101/malecostume-512.png
Data Scientist,nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced,4 Weeks,4.7,1212,"Machine Learning, Deep Learning, Software Engineering","Python, SQL & Statistics",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg 
Introduction to Programming,nanodegree,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner,4 Weeks,4.7,3865,"Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript scripts,  JavaScript Functions,  JavaScript arrays,  JavaScript objects",No coding experience needed,https://www.cs.ucf.edu/wp-content/uploads/2019/09/Gary-Leavens735edit-scaled.jpg 
Digital Marketing,nanodegree,"Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.
",beginner,3 Weeks,4.7,2418,"Digital Marketing,  Marketing fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital marketing metrics,  Display Ads,  Video advertising,  Email marketing,  Branding strategy",No Experience Required.,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Data Analyst,nanodegree,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate,4 Weeks,4.6,3496,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics",Python & SQL,https://www.cs.ucf.edu/wp-content/uploads/2022/05/Rickard-Ewetz-e1652727132143.jpg 
Deep Learning,nanodegree,Deep learning is driving advances in artificial intelligence that are changing our worldâ€”enroll now and learn to build and apply your own deep neural networks.,intermediate,4 Weeks,4.7,3368,"Neural Networks,  Perceptron,  Autoencoders,  Convolutional Neural Networks,  PyTorch,  Object Detection,  Recurrent Neural Networks,  Long-short term Memory Networks,  Backpropagation,  Generative Adversarial Networks,  Deep Learning Techniques,  Image Generation,  Hyperparameter Tuning",Intermediate Python,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Paul-Gazzillo747edit-scaled.jpg 
Programming for Data Science with Python,nanodegree,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner,3 Weeks,4.7,1558,"Python, Numpy & Pandas, SQL, Git & GitHub",None,https://www.usf.edu/engineering/cse/images/anderson-jim-small.jpg
Full Stack Web Developer,nanodegree,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",intermediate,4 Weeks,4.5,749,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Prior experience with Python, CSS/HTML, and Git",https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
AWS Machine Learning Engineer,nanodegree,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate,5 Weeks,4.7,143,"Feature Engineering,  Machine Learning Fluency,  Data Loading with SageMaker,  Amazon S3,  Neural Network Basics,  Deep Learning Fluency,  Hyperparameter Tuning,  Machine Learning Framework Fundamentals,  SageMaker JumpStart,  Cloud Resource Allocation,  Distributed Model Training with SageMaker,  AWS Lambda ",Basic knowledge of machine learning algorithms and Python programming,https://www.usf.edu/engineering/cse/images/kjc.jpg 
SQL,nanodegree,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner,2 Weeks,4.6,339,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types,https://www.usf.edu/engineering/cse/images/goldgof-photo.jpg 
Machine Learning DevOps Engineer,nanodegree,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced,4 Weeks,4.6,115,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",Prior experience with Python and Machine Learning,https://www.usf.edu/engineering/cse/images/isabela.jpg 
Artificial Intelligence for Trading,nanodegree,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate,6 Weeks,4.6,789,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Haiyan-Hu288edit-scaled.jpg 
